word,count
ziekenhuizen,44
volledig,43
demonstraties,43
coronatijd,43
pakken,43
boos,43
dank,43
wachten,43
cultuur,43
hard,43
direct,43
ff,43
erger,43
euro,43
valt,42
coronawet,42
besmetting,42
politieke,42
gebeurd,42
slaan,42
problemen,42
zag,42
stad,42
overleden,42
vvd,42
wit,41
frankrijk,41
bullshit,41
partij,41
praat,41
maart,41
duizenden,41
letterlijk,41
onderzoek,41
hond,41
prima,41
los,41
kant,41
dankzij,41
griepje,40
mooie,40
tja,40
brussel,40
discriminatie,40
dam,40
gezondheid,40
fijn,40
waarin,40
wereldwijd,40
samenleving,40
wilders,40
fout,40
kreeg,40
kreng,40
bek,40
tweet,39
ie,39
wilt,39
v,39
bedankt,39
wacht,39
slet,39
politici,39
werkelijk,39
sorry,38
gezond,38
excuus,38
verboden,38
houd,38
erbij,38
leugens,38
waanzin,38
maak,38
piet,38
namelijk,38
terecht,38
zolang,38
jammer,37
bedrijf,37
white,37
ziekte,37
gehoord,37
hoog,37
agenten,37
dikke,37
enorm,37
klachten,37
aandacht,37
thuiswerken,37
scholen,37
spelen,37
betaald,37
ver,37
joh,37
gezinnen,37
slaat,36
actie,36
moord,36
geldt,36
protest,36
slachtoffer,36
zaken,36
nederlander,36
persoon,36
hoort,36
zwaar,36
vader,36
viruswaanzin,36
gevaarlijk,36
foto,36
verspreiden,36
heen,36
helpt,36
pcr,36
burger,35
drie,35
nieuw,35
ergens,35
trekken,35
rechts,35
gebruik,35
agenda,35
verkiezingen,35
grapperhaus,35
sluiten,35
verantwoordelijkheid,35
pandora,35
teveel,35
coronanederland,35
winkels,34
agent,34
gedoe,34
verantwoordelijk,34
uur,34
beelden,34
mond,34
hopen,34
extreem,34
dieren,34
sowieso,34
sapiens,34
spreken,34
advies,34
begint,34
rtl,34
reactie,33
speelt,33
verwacht,33
vorige,33
vraagt,33
bestaan,33
klimaat,33
gevolgen,33
gekleurde,33
politiegeweld,33
bewijs,33
gelooft,33
deur,33
én,33
roept,33
gegeven,33
flikkers,33
gezicht,33
god,33
thuisblijven,33
gratis,33
journalisten,33
trouwens,33
naam,33
makkelijk,33
schijt,33
europese,33
last,32
waarvan,32
gebeuren,32
deed,32
lege,32
mark,32
heet,32
respect,32
strand,32
kk,32
dochter,32
eind,32
kleine,32
artikel,32
half,32
kritiek,32
denhaag,32
neus,32
extra,32
lachen,32
stand,32
dissel,32
wijf,31
black,31
voeren,31
rot,31
islam,31
hoeven,31
ras,31
complotdenkers,31
wilde,31
eruit,31
hulp,31
derde,31
ter,31
voorbeeld,31
oorlog,31
gehouden,31
lol,31
vieze,31
fvd,31
gelul,31
dictatuur,31
jinek,31
eten,31
verspreiding,30
donkere,30
situatie,30
macht,30
snapt,30
steun,30
kort,30
hoge,30
protesteren,30
burgemeester,30
artsen,30
bewust,30
maand,30
reageren,30
gevolg,30
betreft,30
vroeger,30
begrijp,30
jeugd,30
feiten,30
huidige,30
soms,30
kamer,30
demonstranten,29
raar,29
recht,29
coronadoden,29
tegenwoordig,29
zieke,29
bewezen,29
ondanks,29
vertellen,29
lastig,29
allerlei,29
cda,29
kwijt,29
patiënten,29
gang,29
kleur,29
i,29
belangrijk,29
complot,29
dr,29
vanavond,29
boete,29
ogen,29
aanpak,29
vergeten,29
fake,29
mondkapjesplicht,29
ggd,29
hoeft,29
moe,28
leeg,28
coronavaccin,28
experts,28
elite,28
maatschappij,28
richting,28
zomer,28
rechten,28
gedood,28
raken,28
ofzo,28
to,28
meteen,28
zweden,28
uitbraak,28
naast,28
proberen,28
begrijpen,28
zoiets,28
racistische,28
belachelijk,28
oud,28
leger,28
oma,28
stelt,28
verkeerd,27
leugen,27
besmetten,27
crimineel,27
belangrijker,27
achterlijken,27
vorm,27
ontkennen,27
dode,27
betekent,27
zoek,27
dagelijks,27
hopelijk,27
gedragen,27
president,27
let,27
rechtse,27
buitenland,27
pers,27
verschil,27
gewone,27
klagen,27
wist,27
studenten,27
kopen,27
regeltjes,27
bedoel,27
online,27
lui,27
chinezen,27
journalist,27
ikdoenietmeermee,27
waarheid,26
o,26
huidskleur,26
vergeet,26
idd,26
beeld,26
hypocriet,26
antwerpen,26
you,26
genomen,26
rekening,26
levens,26
kent,26
corrupte,26
risico,26
benieuwd,26
medische,26
bekend,26
moslim,26
oudere,26
beschermen,26
video,26
weekend,26
langs,26
antifa,26
beginnen,26
enorme,26
controle,26
ellende,26
personeel,26
ding,26
griekenland,26
sturen,26
meneer,26
gingen,25
sociale,25
waarbij,25
uitspraak,25
zuid,25
plan,25
schuldig,25
stond,25
velen,25
wens,25
racisten,25
uiteraard,25
hoef,25
stomme,25
hart,25
slechte,25
huisarts,25
kregen,25
bewuster,25
arme,25
zaak,25
usa,25
gezet,25
berichten,25
jong,25
live,25
carnaval,25
oa,25
eerlijk,25
boetes,25
noem,25
leren,25
wonen,25
democratie,25
gekregen,25
masker,25
haha,25
debielen,25
arts,25
mondmaskers,25
zoeken,24
arm,24
